sub,ses,task,edf_start,edf_duration_s,edf_n_signals,edf_fs,json_fs,json_duration_s,n_events,first_event_s,last_event_s,ecg_exists,button_exists,ecg_fs,ecg_duration_s,ecg_start_declared
sub-014,ses-02,mentalarithmetic,2024-02-12 08:44:23,215.999568,33,250.00050000099998,250.00042468381545,215.999568,73,25.0,203.5,True,False,1859.7005647124436,215.0002035740763,0.0
sub-014,ses-02,motorimagery,2023-12-15 12:06:45,215.999568,33,250.00050000099998,250.00042468381545,215.999568,19,25.0,198.0,False,False,,,
sub-014,ses-02,nback,2023-12-12 16:24:05,215.999568,33,250.00050000099998,250.00042468381545,215.999568,121,25.0,204.5,False,False,,,
sub-014,ses-02,nbackarithmetic,2024-02-12 09:40:45,215.999568,33,250.00050000099998,250.00042468381545,215.999568,73,25.0,203.5,True,True,1859.7005647124436,215.0002035740763,0.0
sub-014,ses-03,full,2024-02-12 10:47:09,215.999568,33,250.00050000099998,250.00041013185162,215.999568,73,25.0,203.5,True,False,1855.9051705177171,215.00020924489945,0.0
sub-014,ses-03,mentalarithmetic,2024-02-12 08:44:53,215.999568,33,250.00050000099998,250.00041013185162,215.999568,73,25.0,203.5,True,False,1855.9051705177171,215.00020924489945,0.0
sub-014,ses-03,motorimagery,2023-12-15 12:09:20,215.999568,33,250.00050000099998,250.00041013185162,215.999568,19,25.0,198.0,True,False,1855.9051705177171,215.00020924489945,0.0
sub-014,ses-03,nback,2023-12-12 16:26:23,215.999568,33,250.00050000099998,250.00041013185162,215.999568,121,25.0,204.5,True,False,1855.9051705177171,215.00020924489945,0.0
sub-014,ses-03,nbackarithmetic,2024-02-12 09:41:13,215.999568,33,250.00050000099998,250.00041013185162,215.999568,73,25.0,203.5,True,True,1855.9051705177171,215.00020924489945,0.0
sub-015,ses-01,activemotor,2024-02-14 16:10:30,215.999784,33,250.00025000025002,250.00026461230658,215.99978399999998,19,25.0,199.0,True,False,1999.8413599211046,215.00005381274968,0.0
sub-015,ses-01,full,2024-02-12 12:01:29,215.999784,33,250.00025000025002,250.00026461230658,215.99978399999998,73,25.0,203.5,True,False,1999.8413599211046,215.00005381274968,0.0
sub-015,ses-01,mentalarithmetic,2024-02-12 08:46:14,215.999784,33,250.00025000025002,250.00026461230658,215.99978399999998,73,25.0,203.5,True,False,1999.8413599211046,215.00005381274968,0.0
sub-015,ses-01,motorimagery,2023-12-15 12:10:59,215.999784,33,250.00025000025002,250.00026461230658,215.99978399999998,19,25.0,200.0,True,False,1999.8413599211046,215.00005381274968,0.0
sub-015,ses-01,nback,2023-12-12 16:28:18,215.999784,33,250.00025000025002,250.00026461230658,215.99978399999998,121,25.0,204.5,True,False,1999.8413599211046,215.00005381274968,0.0
sub-015,ses-01,nbackarithmetic,2024-02-12 09:42:28,215.999784,33,250.00025000025002,250.00026461230658,215.99978399999998,73,25.0,203.5,True,True,1999.8413599211046,215.00005381274968,0.0
sub-015,ses-02,activemotor,2024-02-14 16:11:47,215.999784,33,250.00025000025002,250.00023550841792,215.99978399999998,19,25.0,197.0,True,False,1999.9037505814665,215.0003468291834,0.0
sub-015,ses-02,full,2024-02-12 12:02:29,215.999784,33,250.00025000025002,250.00023550841792,215.99978399999998,73,25.0,203.5,True,False,1999.9037505814665,215.0003468291834,0.0
sub-015,ses-02,mentalarithmetic,2024-02-12 08:47:14,215.999784,33,250.00025000025002,250.00023550841792,215.99978399999998,73,25.0,203.5,True,False,1999.9037505814665,215.0003468291834,0.0
sub-015,ses-02,motorimagery,2023-12-15 12:12:16,215.999784,33,250.00025000025002,250.00023550841792,215.99978399999998,19,25.0,198.0,True,False,1999.9037505814665,215.0003468291834,0.0
sub-015,ses-02,nback,2023-12-12 16:31:33,215.999784,33,250.00025000025002,250.00023550841792,215.99978399999998,121,25.0,204.5,True,False,1999.9037505814665,215.0003468291834,0.0
