sub,ses,task,eeg_fs,n_bins,eeg_ok_bins,eeg_std_uV_median,ecg_beats,ecg_coverage,hr_file,rmssd_file,clock_source
sub-009,ses-01,nback,249.99975000025003,21,0,7365.925870049791,249,0.9839327739082891,70.62294394230618,34.14709983255914,event_matched
sub-009,ses-01,nbackarithmetic,249.99975000025003,21,0,7140.4727152986425,256,0.9978462928185989,71.59591011367867,35.82953789509453,declared_unverified
sub-009,ses-01,passivemotor,249.99975000025003,21,0,7357.959634147076,227,0.9959516961038344,63.60620412583877,48.38280703523035,declared_unverified
sub-009,ses-02,activemotor,250.00025000025002,21,0,7258.158162367367,236,0.995942598649605,66.12874588390594,44.654906669462946,declared_unverified
sub-009,ses-02,full,250.00025000025002,21,0,7352.127044206557,243,0.9901398213500124,68.20738991034034,40.00571805755984,declared_unverified
sub-009,ses-02,mentalarithmetic,250.00025000025002,21,0,7356.252022930203,238,0.9956126508674279,66.71125988910336,43.71108114227337,declared_unverified
sub-009,ses-02,motorimagery,250.00025000025002,21,0,7355.593723825294,235,0.9940824582544328,65.97175600130299,43.72887447079597,declared_unverified
sub-009,ses-02,nback,250.00025000025002,21,0,7355.783754953539,240,0.993895966029724,67.38805254264662,40.10568962777101,declared_unverified
sub-009,ses-02,nbackarithmetic,250.00025000025002,21,0,7326.791928342134,248,0.9944195788144833,69.59765492811657,37.679859852088924,declared_unverified
sub-009,ses-02,passivemotor,250.00025000025002,21,0,7325.744811650255,232,0.9946825806698418,65.0902687144451,39.806940459178584,declared_unverified
sub-009,ses-03,activemotor,250.00025000025002,21,0,7213.519087973815,240,0.994445366397193,67.35069623408175,41.556882428892045,declared_unverified
sub-009,ses-03,full,250.00025000025002,21,0,7332.0419995032835,242,0.9931106422322846,68.00322456863248,41.06549091587958,declared_unverified
sub-009,ses-03,mentalarithmetic,250.00025000025002,21,0,7298.408658853391,244,0.99698442426685,68.29882453470378,41.501494029372985,declared_unverified
sub-009,ses-03,motorimagery,250.00025000025002,21,0,7350.530906968849,238,0.9956781489296128,66.70674618439314,47.094838437960284,declared_unverified
sub-009,ses-03,nback,250.00025000025002,21,0,7362.845955737227,240,0.9808681633911003,68.28296634896691,41.00497223322311,event_matched
sub-009,ses-03,nbackarithmetic,250.00025000025002,21,0,7318.071330628111,236,0.9706526635214907,67.85157431232093,39.9275079737983,event_matched
sub-009,ses-03,passivemotor,250.00025000025002,21,0,7358.351641887222,246,0.9888717669092719,68.85914487139132,40.643350010936445,declared_unverified
sub-010,ses-01,activemotor,250.00075000225,21,0,7350.153216574082,248,0.997161739569575,69.40615699371236,44.15580172192168,declared_unverified
sub-010,ses-01,full,250.00075000225,21,0,7345.462106710758,266,0.9975817729780125,74.41235600670767,46.943464309900314,declared_unverified
sub-010,ses-01,mentalarithmetic,250.00075000225,21,0,7352.219206210809,254,0.9944157408126797,71.28163463175325,41.80280290664903,declared_unverified
sub-010,ses-01,motorimagery,250.00075000225,21,0,7357.167778092052,229,0.996780553181571,64.11325846806606,47.11411247286598,declared_unverified
sub-010,ses-01,nback,250.00075000225,21,0,7355.1889735323,297,0.9835822779892782,84.26702821106761,42.850538002792064,event_matched
sub-010,ses-01,nbackarithmetic,250.00075000225,21,0,7355.932309637649,261,0.9772259342708415,74.53451799523683,47.43683561094048,event_matched
sub-010,ses-01,passivemotor,250.00075000225,21,0,7340.503780736677,237,0.9948382021598944,66.48257252665725,44.44290090772317,declared_unverified
sub-010,ses-02,activemotor,250.00075000225,21,0,7346.313703760937,245,0.9963580149233747,68.62199424025755,38.535781160862015,declared_unverified
sub-010,ses-02,full,250.00075000225,21,0,7356.838120735198,259,0.9944372086229353,72.68337205154236,44.14001764953703,declared_unverified
sub-010,ses-02,mentalarithmetic,250.00075000225,21,0,7348.121744845824,247,0.9983080350078513,69.04703851255704,39.68684034353259,declared_unverified
sub-010,ses-02,motorimagery,250.00075000225,21,0,7364.3070385656465,230,0.9961754287731428,64.43245513070515,44.8553710067589,declared_unverified
sub-010,ses-02,nback,250.00075000225,21,0,7356.305249907189,262,0.9981838764256935,73.2492884446976,46.484508444835704,declared_unverified
sub-010,ses-02,nbackarithmetic,250.00075000225,21,0,7346.770506025774,256,0.9824912054337638,72.71499241133967,39.3419706150478,event_matched
sub-010,ses-02,passivemotor,250.00075000225,21,0,7365.875350646985,246,0.998434628072012,68.75877670980857,43.038803266133066,declared_unverified
sub-010,ses-03,activemotor,250.00050000099998,21,0,7353.5792937954375,246,0.9936261880955682,69.09146599849826,38.985274982416485,declared_unverified
sub-010,ses-03,full,250.00050000099998,21,0,7355.814749641397,233,0.9951539567505236,65.33982648553052,40.84498274705304,declared_unverified
sub-010,ses-03,mentalarithmetic,250.00050000099998,21,0,7351.1745474548625,243,0.9948328334026668,68.166107207744,43.61116527770753,declared_unverified
sub-010,ses-03,motorimagery,250.00050000099998,21,0,7364.144509258486,255,0.9965917135579737,71.40608763392062,34.35494272068207,declared_unverified
sub-010,ses-03,nback,250.00050000099998,21,0,7356.5718678147105,237,0.983720019364711,67.23403351006115,45.460020320788615,event_matched
sub-010,ses-03,nbackarithmetic,250.00050000099998,21,0,7356.334607059992,255,0.9785382562515661,72.72348809964669,47.272999245308114,event_matched
sub-011,ses-01,activemotor,250.00025000025002,21,0,7356.507474678411,212,0.9961932514740509,59.38878547997499,62.077632471537804,declared_unverified
sub-011,ses-01,full,250.00025000025002,21,0,7356.198316318345,222,0.9911824514974021,62.50453784341985,57.921090086904655,declared_unverified
sub-011,ses-01,mentalarithmetic,250.00025000025002,21,0,7357.86621474971,211,0.9924692054719881,59.330443312134534,74.80817628299863,declared_unverified
sub-011,ses-01,motorimagery,250.00025000025002,21,0,7348.97588159998,192,0.9928681235283816,53.96620009921775,113.47251317867695,declared_unverified
sub-011,ses-01,nback,250.00025000025002,21,0,7353.741694993788,207,0.9773784272898869,59.10439480242044,84.34380466562644,event_matched
sub-011,ses-01,nbackarithmetic,250.00025000025002,21,0,7357.898046851373,225,0.9895916441261748,62.88702091699801,55.82529100883069,declared_unverified
