pid,feature,cycle,n_ref_bins,ref_median,ref_scale,scale_flag,n_challenge_valid,n_recovery_valid,resp_phys,resp_z,burden,t_depart_b1.5,return_time_b1.5,status_b1.5,t_depart_b2.0,return_time_b2.0,status_b2.0,residual_60,residual_180,residual_360,t_depart_b2.5,return_time_b2.5,status_b2.5,resp_phys_preref
p17,eeg_frontal_theta,1,19,1.1375681921481777,0.08671399006734658,False,34,34,0.0004567501080114944,0.005267317391999233,393.09417009687525,,,not_estimable,,,not_estimable,-0.432523611900811,0.7863097777523064,-0.7569391245001935,,,not_estimable,
p17,eeg_frontal_theta,2,19,1.1375681921481777,0.08671399006734658,False,35,33,-0.18207212633608483,-2.0996857161650406,687.6352592814147,70.0,,censored,70.0,60.0,returned,-0.4803153999288715,-3.8945665098606375,-3.097698516804445,70.0,60.0,returned,-0.1813304478775687
p17,eeg_frontal_alpha,1,19,0.9251089514950965,0.12674823402807747,False,34,34,-0.0613368636306475,-0.4839267710590745,244.94794668066774,,,not_estimable,,,not_estimable,-0.3773931382556469,0.2850760357943429,0.5483532270306826,,,not_estimable,
p17,eeg_frontal_alpha,2,19,0.9251089514950965,0.12674823402807747,False,35,33,-0.08459829897397975,-0.6674515003912354,429.9244077761117,,,not_estimable,,,not_estimable,0.22166419814541677,-0.8702162664566943,-0.3459622205205474,,,not_estimable,-0.106237939315177
p17,eeg_central_alpha,1,19,0.9729231011571098,0.11963508910030425,False,34,34,-0.050623809600183534,-0.42315185269548805,239.78295701322705,,,not_estimable,,,not_estimable,-0.1915384757520649,0.08737519228546045,0.5117832801812741,,,not_estimable,
p17,eeg_central_alpha,2,19,0.9729231011571098,0.11963508910030425,False,35,33,-0.03183107270700736,-0.2660680319326682,394.12793725530895,,,not_estimable,,,not_estimable,0.32807729241881267,-0.6511356790038407,0.068659039676654,,,not_estimable,-0.05990282835477323
p17,eeg_parietal_alpha,1,19,1.0831926034293566,0.09848509560818892,False,34,34,0.005516719156429151,0.05601577703063683,162.8680468640389,,,not_estimable,,,not_estimable,-0.6852801593226822,0.46175576449963723,0.7933442081745042,,,not_estimable,
p17,eeg_parietal_alpha,2,19,1.0831926034293566,0.09848509560818892,False,35,33,0.011714653989214563,0.11894849588022842,261.82842560012045,,,not_estimable,,,not_estimable,1.8301094499161357,-0.3366491034297846,-0.28882023196397616,,,not_estimable,-0.0507677692285764
p17,eeg_occipital_alpha,1,19,1.2568883205656851,0.05042778703060123,False,34,34,0.023499120010247232,0.46599546388952356,297.59944659063325,,,not_estimable,,,not_estimable,-1.4591048307300456,1.8750144514711478,2.4761399342070485,,,not_estimable,
p17,eeg_occipital_alpha,2,19,1.2568883205656851,0.05042778703060123,False,35,33,0.01486565612373636,0.29479096742269084,254.761198618517,,,not_estimable,,,not_estimable,1.9809408002492361,0.7178353104494859,-1.447221146567759,,,not_estimable,-0.06406021805613982
p17,eeg_central_beta,1,19,1.1495364981953022,0.10330062763530432,False,34,34,0.0424421297237072,0.4108603277179127,517.454673003029,250.0,180.0,returned,310.0,70.0,returned,1.484391192482432,0.7686937645555606,2.52464112989462,,,not_estimable,
p17,eeg_central_beta,2,19,1.1495364981953022,0.10330062763530432,False,35,33,0.02887158420215452,0.27949088851699566,827.9244478998788,200.0,50.0,returned,200.0,50.0,returned,0.2637406016959206,-0.4981065722135164,-0.06372205942127344,200.0,50.0,returned,-0.2125854204473312
p17,eeg_parietal_beta,1,19,1.2773376665971654,0.06260105692303071,False,34,34,0.0830053171722207,1.325941146237792,611.1200278338125,250.0,,censored,260.0,70.0,returned,1.0557623163843013,1.6519703251389277,2.884337374925918,,,not_estimable,
p17,eeg_parietal_beta,2,19,1.2773376665971654,0.06260105692303071,False,35,33,0.06863408184832243,1.0963725729536715,992.6400881189386,130.0,120.0,returned,200.0,120.0,returned,1.4616250324382098,-0.33163784960648435,-0.3551961669802865,200.0,120.0,returned,-0.04988602014511789
p18,eeg_frontal_theta,1,18,1.5527463597932223,0.06691954455680535,False,35,34,-0.06643808424613362,-0.9928053857231046,522.4012563983174,40.0,,censored,50.0,30.0,returned,-3.6205307392807633,2.1690478015204326,-1.386983840280706,,,not_estimable,
p18,eeg_frontal_theta,2,18,1.5527463597932223,0.06691954455680535,False,35,36,-0.055495430696328674,-0.8292858396431674,470.3869233536874,,,ambiguous_timing,,,ambiguous_timing,-1.3423584148177339,-3.3390496810634636,-2.1262071350165574,,,ambiguous_timing,0.09483115290448363
p18,eeg_frontal_alpha,1,18,1.192893939476344,0.09738556559423563,False,35,34,-0.09979201715071429,-1.0247105568653296,399.8308308808958,,,not_estimable,,,not_estimable,-1.8294791917113091,-1.4782116222278772,-2.5363873004906297,,,not_estimable,
p18,eeg_frontal_alpha,2,18,1.192893939476344,0.09738556559423563,False,35,36,-0.10784309106562917,-1.1073827051019616,371.80725658784445,,,ambiguous_timing,,,ambiguous_timing,-1.8176480240833166,-1.489202096583954,-1.7534886233395963,,,ambiguous_timing,0.04621802198799463
